case_id,case_type,difficulty,review_status,requires_human_review,expected_diagnoses,patient_case,original_query,notes
q001,diagnosis,medium,auto_generated,True,,как подтвердить ишемическую болезнь сердца у пациента со стенокардией и факторами сердечно-сосудистого риска,как подтвердить ишемическую болезнь сердца у пациента со стенокардией и факторами сердечно-сосудистого риска,case created from retrieval query q001
q002,diagnosis,medium,auto_generated,True,,"пациент жалуется на одышку при нагрузке, ночную одышку, утомляемость и отеки лодыжек — про симптомы сердечной недостаточности нужен","пациент жалуется на одышку при нагрузке, ночную одышку, утомляемость и отеки лодыжек — какой протокол про симптомы сердечной недостаточности нужен",case created from retrieval query q002
q003,diagnosis,hard,auto_generated,True,,"сильное давление за грудиной в покое с иррадиацией в левую руку, тошнотой и потливостью, не проходит после нитроглицерина","сильное давление за грудиной в покое с иррадиацией в левую руку, тошнотой и потливостью, не проходит после нитроглицерина",case created from retrieval query q003
q004,diagnosis,medium,auto_generated,True,,какие этапы обследования нужны при подозрении на легочную гипертензию и как определить клиническую группу,какие этапы обследования нужны при подозрении на легочную гипертензию и как определить клиническую группу,case created from retrieval query q004
q005,diagnosis,medium,auto_generated,True,,"у пациента редкий пульс, слабость, головокружения и обмороки — найти фрагменты про проявления брадиаритмии","у пациента редкий пульс, слабость, головокружения и обмороки — найти фрагменты про проявления брадиаритмии",case created from retrieval query q005
q006,diagnosis,easy,auto_generated,True,,какой критерий толщины стенки левого желудочка используется для диагностики гипертрофической кардиомиопатии,какой критерий толщины стенки левого желудочка используется для диагностики гипертрофической кардиомиопатии,case created from retrieval query q006
q007,diagnosis,medium,auto_generated,True,,как описать симптомы и риск инсульта у пациента с фибрилляцией предсердий по схеме 4S-AF,как описать симптомы и риск инсульта у пациента с фибрилляцией предсердий по схеме 4S-AF,case created from retrieval query q007
q008,diagnosis,medium,auto_generated,True,,"лихорадка, ознобы, новый шум регургитации и признаки эмболий — описывает клиническую картину инфекционного эндокардита","лихорадка, ознобы, новый шум регургитации и признаки эмболий — какой раздел описывает клиническую картину инфекционного эндокардита",case created from retrieval query q008
q009,diagnosis,hard,auto_generated,True,,"у пациента повышенное давление без жалоб, но есть утренние головные боли, храп и дневная сонливость — что искать по артериальной гипертензии","у пациента повышенное давление без жалоб, но есть утренние головные боли, храп и дневная сонливость — что искать по артериальной гипертензии",case created from retrieval query q009
q010,diagnosis,medium,auto_generated,True,,как установить диагноз тромбофлебита поверхностных вен при воспалении по ходу подкожной вены,как установить диагноз тромбофлебита поверхностных вен при воспалении по ходу подкожной вены,case created from retrieval query q010
q011,diagnosis,hard,auto_generated,True,,"острая боль в груди усиливается на вдохе и при кашле, уменьшается в положении лежа на животе — про перикардит","острая боль в груди усиливается на вдохе и при кашле, уменьшается в положении лежа на животе — какой протокол про перикардит",case created from retrieval query q011
q012,treatment,easy,auto_generated,True,,какую диету рекомендуют для профилактики сердечно-сосудистых заболеваний при дислипидемии,какую диету рекомендуют для профилактики сердечно-сосудистых заболеваний при дислипидемии,case created from retrieval query q012
q013,diagnosis,medium,auto_generated,True,,"женщина с цервицитом и слизисто-гнойными выделениями, нужно найти клинические признаки хламидийной инфекции нижних мочеполовых путей","женщина с цервицитом и слизисто-гнойными выделениями, нужно найти клинические признаки хламидийной инфекции нижних мочеполовых путей",case created from retrieval query q013
q014,diagnosis,easy,auto_generated,True,,красно-коричневые пятна в паховых складках и кораллово-красное свечение в лампе Вуда,красно-коричневые пятна в паховых складках и кораллово-красное свечение в лампе Вуда,case created from retrieval query q014
q015,diagnosis,hard,auto_generated,True,,"интенсивно зудящие сгруппированные пузырьки и папулы на локтях, коленях и ягодицах с хроническими рецидивами","интенсивно зудящие сгруппированные пузырьки и папулы на локтях, коленях и ягодицах с хроническими рецидивами",case created from retrieval query q015
q016,diagnosis,medium,auto_generated,True,,как диагностировать аллергический контактный дерматит после повторного контакта с косметикой или металлом,как диагностировать аллергический контактный дерматит после повторного контакта с косметикой или металлом,case created from retrieval query q016
q017,diagnosis,medium,auto_generated,True,,у ребенка на лице и веках безболезненные плотные узелки с пупковидным вдавлением в центре,у ребенка на лице и веках безболезненные плотные узелки с пупковидным вдавлением в центре,case created from retrieval query q017
q018,diagnosis,hard,auto_generated,True,,"эритема, гиперкератоз и атрофия на коже лица и волосистой части головы, чешуйки отделяются болезненно","эритема, гиперкератоз и атрофия на коже лица и волосистой части головы, чешуйки отделяются болезненно",case created from retrieval query q018
q019,diagnosis,easy,auto_generated,True,,ярко-розовые бляшки с серебристо-белыми чешуйками и феноменом Кебнера — найти протокол по псориазу,ярко-розовые бляшки с серебристо-белыми чешуйками и феноменом Кебнера — найти протокол по псориазу,case created from retrieval query q019
q020,diagnosis,medium,auto_generated,True,,"серо-желтые пенистые выделения с неприятным запахом, зуд и жжение при мочеиспускании у женщины","серо-желтые пенистые выделения с неприятным запахом, зуд и жжение при мочеиспускании у женщины",case created from retrieval query q020
q021,diagnosis,medium,auto_generated,True,,"острая мокнущая сыпь с микровезикулами, серозными корками, зудом и жжением","острая мокнущая сыпь с микровезикулами, серозными корками, зудом и жжением",case created from retrieval query q021
q022,diagnosis_and_next_steps,medium,auto_generated,True,,"ежедневные волдыри больше шести недель, нужно отличить хроническую крапивницу от острой","ежедневные волдыри больше шести недель, нужно отличить хроническую крапивницу от острой",case created from retrieval query q022
q023,diagnosis,easy,auto_generated,True,,как диагностировать СПКЯ у женщины с гиперандрогенией и нарушением овуляции,как диагностировать СПКЯ у женщины с гиперандрогенией и нарушением овуляции,case created from retrieval query q023
q024,diagnosis,medium,auto_generated,True,,"острое начало диабета у подростка с быстрым развитием метаболических нарушений, риск кетоацидоза","острое начало диабета у подростка с быстрым развитием метаболических нарушений, риск кетоацидоза",case created from retrieval query q024
q025,diagnosis,medium,auto_generated,True,,какие пациенты чаще имеют сахарный диабет 2 типа и почему он может долго протекать бессимптомно,какие пациенты чаще имеют сахарный диабет 2 типа и почему он может долго протекать бессимптомно,case created from retrieval query q025
