case_id,patient_case,rag_answer_valid_json,no_rag_answer_valid_json,rag_citation_count,rag_invalid_citation_count,rag_citation_coverage_estimate,no_rag_citation_count,rag_num_diagnoses,no_rag_num_diagnoses,rag_insufficient_information,no_rag_insufficient_information,rag_retrieved_document_ids,rag_retrieved_chunk_ids,rag_model,no_rag_model
q001,как подтвердить ишемическую болезнь сердца у пациента со стенокардией и факторами сердечно-сосудистого риска,True,True,2,0,1.0,0,1,1,False,False,kr155_2|kr157_5,ba049188-2657-4133-a01c-97c49c5a4595|9a844992-2912-4603-afff-9df5b4c2d288|8fa22a3b-3552-487b-96ef-0e041f5b9415|77df56cd-4bb9-4cf3-b059-24d47088c0f5|3d7a546a-03cb-4200-8411-d98466aa8500,gpt-4o-mini,gpt-4o-mini
q002,"пациент жалуется на одышку при нагрузке, ночную одышку, утомляемость и отеки лодыжек — про симптомы сердечной недостаточности нужен",True,True,2,0,1.0,0,1,1,False,False,kr156_2,bcd3800a-e657-4b1f-bc2c-7a9303d16acf|68fe37bc-f198-4abb-ab4a-dd401cd08099|76baaae4-e561-4463-a905-60526185b601|4956a3b4-9396-4bbb-b60b-4f7da1057691|a6ebb79c-c6e9-4755-ad28-24f98fe2593c,gpt-4o-mini,gpt-4o-mini
q003,"сильное давление за грудиной в покое с иррадиацией в левую руку, тошнотой и потливостью, не проходит после нитроглицерина",True,True,2,0,1.0,0,1,1,False,False,kr157_5|kr155_2,af03c95c-abb3-4258-bb99-2ddf416ed940|e4ef3e0a-0b5c-48b1-8d58-16c6f1b42e0f|dc4c82b6-3e00-41e8-bdc1-6cfe0050baef|5ff8fcf3-a093-4648-b453-513c1d009ced|8df119f6-7497-4a81-bbce-0f4f6a41efae,gpt-4o-mini,gpt-4o-mini
q004,какие этапы обследования нужны при подозрении на легочную гипертензию и как определить клиническую группу,True,True,3,0,1.0,0,1,1,False,False,kr159_2|kr715_2|kr960_1|kr783_1,3ca1c218-56f4-498c-9df9-79fc321d0ca3|343b88dd-ee34-46dd-81b1-cc3c2f21db4d|d0d371d3-8b4f-409e-b24c-51861520ee6f|3e8dea56-98f0-4daa-9e12-10e94f33135e|37629989-9651-436a-a0f6-2a114cc6a471,gpt-4o-mini,gpt-4o-mini
q005,"у пациента редкий пульс, слабость, головокружения и обмороки — найти фрагменты про проявления брадиаритмии",True,True,2,0,1.0,0,1,1,False,False,kr160_1|kr746_1|kr946_1|kr732_1,0c74250f-1062-48aa-ac56-3663a66d480e|27c11df2-a952-4360-9d79-65f88f069223|e36fa8b1-a31a-4eda-87d5-8b1cfbfcdd97|d295bcf4-4051-43f7-96a5-f9d316016d61|84b0cf98-bddc-4f71-a7d2-2ba9f61a405d,gpt-4o-mini,gpt-4o-mini
q006,какой критерий толщины стенки левого желудочка используется для диагностики гипертрофической кардиомиопатии,True,True,1,0,1.0,0,1,1,False,False,kr283_2|kr156_2,fc5cf8a8-9719-454c-999d-13725504812d|d0fb1af1-a0f6-4f61-8868-665d2fd77728|5e43e12b-dd39-4032-84b9-30c13b865d9f|39a1866d-02d3-4251-ae4f-d15f7600dd2a|964aa5c7-8067-45fa-844f-7440097ee47c,gpt-4o-mini,gpt-4o-mini
q007,как описать симптомы и риск инсульта у пациента с фибрилляцией предсердий по схеме 4S-AF,True,True,2,0,1.0,0,1,1,False,False,kr382_2,11c0b75a-cbc1-4388-bd37-99712e9351dc|ca685db7-8862-403d-9de4-db89f64fed92|f13d7b6f-317b-439f-82eb-7c7afe04503b|1026441f-6844-4164-bc5a-1a2a26eb6d5b|87fe824b-4fba-4026-be30-c245291bcaef,gpt-4o-mini,gpt-4o-mini
q008,"лихорадка, ознобы, новый шум регургитации и признаки эмболий — описывает клиническую картину инфекционного эндокардита",True,True,2,0,1.0,0,1,1,False,False,kr54_3,c1595723-de01-4411-aeea-f92f556d7f97|301e5dcf-1319-443a-beda-77468976158e|e5660701-b41f-4957-8b55-f8fc1173e6b1|ee60d72f-8198-48a9-83c1-df02f9e73484|f187d5c3-df6b-43fb-87df-48724280be78,gpt-4o-mini,gpt-4o-mini
q009,"у пациента повышенное давление без жалоб, но есть утренние головные боли, храп и дневная сонливость — что искать по артериальной гипертензии",True,True,6,0,1.0,0,3,2,False,False,kr62_3,0cebe04e-00cb-4ec0-ac6d-112bdd849dfd|e4ba1cfe-87a8-4080-bfa5-275fe748c954|23d56e13-9aeb-41ae-98a2-aae8225d9935|6ffb8b0c-b4e5-4c92-8019-0f88143db5b0|de0b831f-5865-479b-ad16-3daeba130249,gpt-4o-mini,gpt-4o-mini
q010,как установить диагноз тромбофлебита поверхностных вен при воспалении по ходу подкожной вены,True,True,2,0,1.0,0,1,1,False,False,kr668_2|kr654_2|kr940_1|kr960_1,c9c187b0-af9f-4c0c-a3b8-84224ef0a821|65088981-78c4-4bd9-99dc-afabfdc2db66|c1f4768b-77da-4804-9c93-df69b438345b|25887167-9b0a-4657-948f-7b16084ab4cc|dfb04a4a-b683-44ae-9aa3-a6c1988de925,gpt-4o-mini,gpt-4o-mini
q011,"острая боль в груди усиливается на вдохе и при кашле, уменьшается в положении лежа на животе — про перикардит",True,True,2,0,1.0,0,1,1,False,False,kr746_1,2ea4ccda-231a-4fcb-9697-e2034890beda|320c6d52-7c9f-4562-a775-5312d29e7285|e36fa8b1-a31a-4eda-87d5-8b1cfbfcdd97|4df78732-d41c-481f-987b-a09f7b7f4732|7244945b-6aaf-46b0-aa76-c15394c8fe32,gpt-4o-mini,gpt-4o-mini
q012,какую диету рекомендуют для профилактики сердечно-сосудистых заболеваний при дислипидемии,True,True,2,0,1.0,0,1,1,False,False,kr752_1,49d7ed34-88ba-43e9-92f0-76213f88d08e|50ea1dcd-ce8e-4b68-88a4-3158639e2154|37da0e9e-aabf-4972-8862-1d6968e4607a|69b78138-f798-4ae7-a58a-4b941a36f759|5f803aa1-1046-47c6-ae34-5b3b29b87155,gpt-4o-mini,gpt-4o-mini
q013,"женщина с цервицитом и слизисто-гнойными выделениями, нужно найти клинические признаки хламидийной инфекции нижних мочеполовых путей",True,True,2,0,1.0,0,1,1,False,False,kr194_2,087ffac6-e993-4841-885b-182e888d18c5|c7b041c2-454e-4601-a13a-741a39f6e44d|c0269c8c-8783-4692-bfd0-4330a6ca9e4b|a3ce7519-8712-42b9-aec3-65dc38d7b734|64e8c328-dfee-45cd-bc97-e8071292b57e,gpt-4o-mini,gpt-4o-mini
q014,красно-коричневые пятна в паховых складках и кораллово-красное свечение в лампе Вуда,True,True,2,0,1.0,0,1,2,False,False,kr200_3|kr264_2|kr222_2,a5bb2784-ff87-4076-8ccd-d17d219bcc10|c32ee649-98ec-44a6-b4db-e04910e9d374|8063fd15-1c9e-49c8-9acf-699632e02799|8a98b70c-fd76-49ab-828a-3fc4f2465586|1cc7340d-0408-44ed-8b77-e63649f92433,gpt-4o-mini,gpt-4o-mini
q015,"интенсивно зудящие сгруппированные пузырьки и папулы на локтях, коленях и ягодицах с хроническими рецидивами",True,True,5,0,1.0,0,3,3,False,False,kr212_2|kr246_3|kr265_3,a8dd5f04-7c73-438a-aac3-ce4249ea6f54|ecc5cbc9-36d8-4def-ab5c-8c99bfb207a2|f4c79958-09fa-463f-b49f-8f8a53966c76|0a9db449-4f65-4086-aa99-77ef447b525d|1141b8b9-16e0-4623-b3ae-63832d518f77,gpt-4o-mini,gpt-4o-mini
q016,как диагностировать аллергический контактный дерматит после повторного контакта с косметикой или металлом,True,True,4,0,1.0,0,1,1,False,False,kr213_3|kr994_1,11884639-67ac-48a0-b794-98e8e0e41588|95314457-2ca3-44cf-ab67-112a2486e7f4|9a75380e-e410-46c9-a69a-e22360f30042|2a1b3768-601a-447e-a1b9-fd933c9e7fd4|e667cf93-d3f0-40f0-b419-44f8ccb676ee,gpt-4o-mini,gpt-4o-mini
q017,у ребенка на лице и веках безболезненные плотные узелки с пупковидным вдавлением в центре,True,True,2,0,1.0,0,1,3,False,False,kr220_2|kr264_2,6e4c2dab-4ea3-4126-b88b-4e49736df87c|67262043-25f5-4c85-bb66-944be70c7a2e|a54a928a-3106-4f2b-b2e2-02fbe836020b|ead85f72-6fff-4f37-b22e-076ac334c8a9|a38306c5-dd49-428f-8adf-c6e5155ddc36,gpt-4o-mini,gpt-4o-mini
q018,"эритема, гиперкератоз и атрофия на коже лица и волосистой части головы, чешуйки отделяются болезненно",True,True,2,0,1.0,0,1,3,False,False,kr222_2,13bfaba0-63b6-4114-8276-df8ac90c0918|1cc7340d-0408-44ed-8b77-e63649f92433|4108dc3a-36f8-4d1e-8099-93a5ca5b6e52|0d976324-a8bf-4d33-8061-1c5259598025|92680d34-34ef-4f0d-bdbd-735489cad003,gpt-4o-mini,gpt-4o-mini
q019,ярко-розовые бляшки с серебристо-белыми чешуйками и феноменом Кебнера — найти протокол по псориазу,True,True,2,0,1.0,0,1,1,False,False,kr234_2,f9a5aede-29dc-464b-9932-099f2e5fa361|0abeab1a-a9c4-46d0-9ca8-739c70114357|4b6a3e6a-18e4-4ea2-a0e3-812d430a8e3c|43ecadb7-370c-426c-9e18-ee02c20a1f76|bd15c98f-4f9f-4471-a257-82ad3cbda055,gpt-4o-mini,gpt-4o-mini
q020,"серо-желтые пенистые выделения с неприятным запахом, зуд и жжение при мочеиспускании у женщины",True,True,2,0,1.0,0,1,2,False,False,kr241_3,ed67b8b4-a674-44d4-9d4e-f36e52ef7de0|0b907ddc-ed06-44a4-a028-2a552c0cff9d|024b3415-f5ab-4bb4-b21f-f6fed7476122|51d5f61c-7fa7-42af-8fa4-817565431118|bb7c1fba-cbd1-4513-8c32-9d341beb8f55,gpt-4o-mini,gpt-4o-mini
